"Age","Work_Experience","Family_Size","Segmentation","Gender (to number)","Ever_Married (to number)","Graduated (to number)","Profession (to number)","Spending_Score (to number)","Var_1 (to number)","Segmentation (to number)","ID"
45,0,4,"B",0,1,1,4,1,1,2,2259
40,1,1,"A",0,0,0,3,0,0,1,2260
42,12,1,"A",0,0,1,4,0,3,1,2261
49,3,1,"C",1,0,1,4,0,1,3,2262
46,8,2,"D",0,1,0,3,0,1,0,2263
29,1,3,"B",0,1,1,4,1,3,2,2264
72,0,2,"A",1,1,1,2,2,1,1,2265
26,0,3,"C",0,0,1,0,0,3,3,2266
50,2,3,"C",1,1,1,1,1,1,3,2267
33,0,3,"C",0,0,1,6,0,1,3,2268
35,7,2,"C",1,1,1,4,1,1,3,2269
51,1,6,"C",1,1,1,4,1,1,3,2270
52,0,6,"C",0,1,1,3,1,0,3,2271
20,5,2,"D",0,0,0,3,0,1,0,2272
33,1,6,"D",0,0,0,8,0,0,0,2273
58,0,3,"C",0,1,1,4,1,3,3,2274
38,1,4,"A",1,1,1,6,0,3,1,2275
27,14,1,"D",1,0,0,0,0,1,0,2276
43,8,2,"B",0,1,1,3,0,1,2,2277
18,0,5,"D",1,0,0,0,0,1,0,2278
29,0,3,"D",1,0,0,0,0,1,0,2279
86,2,2,"A",0,1,0,2,1,1,1,2280
32,7,5,"D",0,0,0,0,0,3,0,2281
52,0,6,"A",1,1,0,1,0,0,1,2282
53,1,4,"C",0,1,1,4,1,1,3,2283
29,9,3,"D",0,0,0,0,0,3,0,2284
58,2,1,"A",0,1,1,4,0,1,1,2285
39,0,4,"C",1,1,1,4,1,1,3,2286
40,12,3,"A",0,1,1,1,1,1,1,2287
23,3,5,"D",1,0,0,0,0,1,0,2288
79,14,3,"C",1,1,1,2,2,1,3,2289
70,0,2,"B",1,1,1,2,2,1,2,2290
27,0,6,"D",1,0,0,4,0,1,0,2291
47,1,2,"B",0,1,0,5,2,3,2,2292
58,3,4,"B",0,1,1,5,1,3,2,2293
40,6,5,"D",0,1,0,1,1,0,0,2294
35,1,2,"A",0,1,1,5,1,1,1,2295
31,0,2,"C",0,1,1,0,0,1,3,2296
43,1,4,"C",1,1,1,4,2,3,3,2297
21,4,3,"D",0,0,0,6,0,5,0,2298
29,1,3,"C",1,0,1,4,0,1,3,2299
28,0,3,"B",0,0,1,4,0,0,2,2300
47,8,2,"C",1,1,1,6,1,1,3,2301
52,1,4,"C",0,1,1,8,2,1,3,2302
42,5,2,"D",1,0,0,8,0,1,0,2303
57,2,3,"C",1,1,1,4,2,1,3,2304
61,0,2,"C",0,1,1,5,2,1,3,2305
33,0,3,"C",0,0,1,4,0,0,3,2306
41,11,4,"C",1,1,1,4,1,1,3,2307
39,9,3,"A",1,0,1,6,0,1,1,2308
40,4,2,"C",0,0,1,6,0,1,3,2309
52,1,3,"C",1,1,1,4,0,5,3,2310
43,0,1,"A",0,0,1,4,0,3,1,2311
51,0,1,"B",1,0,1,4,0,1,2,2312
36,6,2,"B",1,1,1,3,0,1,2,2313
38,8,2,"B",0,1,1,3,0,3,2,2314
30,0,5,"A",1,0,1,4,0,5,1,2315
39,1,4,"D",0,0,1,8,0,3,0,2316
46,1,2,"A",1,0,1,3,0,1,1,2317
43,3,4,"B",0,1,0,5,2,1,2,2318
70,0,2,"B",0,1,1,2,2,1,2,2319
41,9,1,"D",1,1,1,3,0,2,0,2320
39,1,1,"A",1,1,1,1,0,3,1,2321
51,0,2,"C",1,0,1,4,0,1,3,2322
26,10,1,"D",0,0,1,8,0,1,0,2323
31,4,1,"D",0,0,0,8,0,3,0,2324
33,0,3,"B",1,0,1,0,0,0,2,2325
70,0,2,"B",1,1,1,1,2,1,2,2326
71,1,1,"A",1,0,0,1,0,0,1,2327
29,5,2,"A",0,1,1,1,0,0,1,2328
41,1,1,"D",1,0,0,8,0,1,0,2329
29,1,4,"C",0,0,0,3,0,0,3,2330
76,1,1,"A",0,1,1,2,0,1,1,2331
18,7,3,"D",1,0,0,0,0,0,0,2332
49,6,3,"D",1,1,1,1,0,3,0,2333
19,9,5,"D",0,0,0,0,0,1,0,2334
81,1,3,"C",0,1,1,5,2,1,3,2335
35,9,1,"B",1,0,1,4,0,1,2,2336
59,0,2,"B",0,1,0,6,1,1,2,2337
32,1,5,"B",1,0,0,0,0,0,2,2338
63,1,1,"C",1,1,1,4,0,5,3,2339
21,0,3,"D",1,0,0,0,0,0,0,2340
77,0,3,"A",1,1,0,2,2,1,1,2341
36,2,1,"C",0,0,1,4,0,1,3,2342
22,0,5,"D",1,0,0,0,0,0,0,2343
26,5,4,"D",0,1,0,5,2,1,0,2344
82,7,1,"A",0,1,1,2,0,1,1,2345
18,2,4,"D",0,0,0,0,0,1,0,2346
35,0,2,"C",0,1,1,4,1,1,3,2347
36,0,2,"A",0,1,0,6,1,2,1,2348
59,1,2,"A",0,1,1,4,0,1,1,2349
61,0,2,"C",0,1,0,4,1,1,3,2350
37,0,1,"A",1,0,1,3,0,1,1,2351
25,1,5,"B",1,0,0,0,0,0,2,2352
28,0,4,"B",1,0,0,0,0,5,2,2353
29,0,4,"B",0,0,1,0,0,2,2,2354
86,1,2,"C",1,1,1,2,2,1,3,2355
45,0,2,"A",0,0,1,4,0,1,1,2356
20,3,3,"D",1,0,0,0,0,4,0,2357
75,0,1,"D",0,1,0,2,0,1,0,2358
43,1,1,"A",1,0,1,4,0,1,1,2359
69,1,1,"B",0,1,1,2,0,1,2,2360
38,1,3,"A",0,1,0,3,0,0,1,2361
29,1,4,"C",1,0,0,1,0,1,3,2362
56,0,1,"D",0,1,1,4,0,1,0,2363
53,9,1,"D",0,1,1,5,0,0,0,2364
37,1,1,"A",1,0,1,4,0,3,1,2365
28,1,5,"A",0,1,0,5,2,1,1,2366
74,0,2,"B",1,1,1,4,1,1,2,2367
51,1,4,"C",0,1,1,3,1,1,3,2368
88,0,1,"D",1,1,1,2,0,1,0,2369
50,0,2,"C",1,1,1,4,1,3,3,2370
19,1,7,"D",0,0,0,0,0,0,0,2371
32,6,1,"B",1,0,1,4,0,3,2,2372
45,1,3,"B",1,1,1,5,2,3,2,2373
33,1,2,"C",1,0,1,4,0,1,3,2374
53,1,4,"B",0,1,1,5,2,0,2,2375
45,1,1,"A",0,0,1,3,0,2,1,2376
26,9,4,"D",1,0,1,6,0,1,0,2377
46,7,2,"C",0,1,1,6,1,1,3,2378
35,6,2,"A",0,1,1,0,1,1,1,2379
32,8,6,"A",1,0,1,8,0,4,1,2380
25,8,2,"C",1,1,1,4,1,0,3,2381
63,0,4,"C",1,1,1,4,1,1,3,2382
23,9,4,"D",1,0,0,0,0,1,0,2383
26,9,8,"A",1,0,1,1,0,1,1,2384
46,1,3,"C",1,1,1,4,2,1,3,2385
70,0,2,"B",0,1,0,1,1,1,2,2386
40,1,4,"B",1,1,1,1,1,6,2,2387
33,6,1,"A",0,0,1,3,0,1,1,2388
48,10,3,"C",0,1,1,7,0,1,3,2389
39,9,2,"D",0,0,1,3,0,3,0,2390
61,1,3,"C",0,1,1,4,1,1,3,2391
52,1,3,"D",0,1,1,8,0,3,0,2392
26,1,2,"A",1,1,0,3,1,0,1,2393
40,1,2,"A",1,1,0,1,0,1,1,2394
73,2,2,"C",1,1,1,4,2,1,3,2395
29,9,5,"B",1,0,1,6,0,3,2,2396
35,9,4,"A",0,1,1,7,1,1,1,2397
26,1,4,"C",1,0,1,4,0,1,3,2398
39,4,3,"D",1,0,0,0,0,1,0,2399
28,1,5,"D",0,0,1,0,0,1,0,2400
37,1,2,"C",1,0,1,4,0,1,3,2401
36,8,2,"B",1,1,1,7,1,2,2,2402
41,0,3,"D",0,1,0,5,0,4,0,2403
74,1,1,"C",0,1,1,2,0,5,3,2404
23,0,3,"D",1,0,0,0,0,0,0,2405
25,3,5,"D",0,0,0,0,0,5,0,2406
50,0,5,"B",1,1,0,4,1,0,2,2407
30,2,3,"B",1,0,1,0,0,1,2,2408
66,0,2,"B",0,1,0,3,1,1,2,2409
29,0,2,"B",0,1,1,3,0,1,2,2410
43,4,1,"B",1,1,0,4,0,1,2,2411
42,1,3,"A",1,1,1,1,2,3,1,2412
39,7,1,"A",1,0,1,4,0,1,1,2413
40,0,1,"A",1,0,1,1,0,1,1,2414
39,0,1,"A",1,1,1,4,0,1,1,2415
46,1,2,"D",1,0,1,1,0,2,0,2416
40,1,3,"B",1,1,1,4,2,1,2,2417
78,0,2,"A",1,1,0,2,2,1,1,2418
45,8,4,"B",1,1,1,7,2,1,2,2419
31,0,4,"A",1,0,1,3,0,1,1,2420
57,1,4,"C",1,1,1,1,0,3,3,2421
32,0,4,"B",0,0,1,0,0,1,2,2422
27,6,4,"A",0,1,0,3,0,1,1,2423
27,6,4,"D",0,0,0,3,0,1,0,2424
25,9,4,"C",0,0,1,0,0,0,3,2425
57,1,2,"C",0,1,0,5,0,1,3,2426
18,11,1,"D",0,0,0,0,0,0,0,2427
69,0,2,"C",1,1,1,4,0,1,3,2428
59,1,2,"A",0,1,0,1,0,0,1,2429
36,7,2,"B",1,1,1,3,1,1,2,2430
19,1,3,"D",0,0,0,0,0,1,0,2431
40,9,2,"C",1,1,1,4,0,1,3,2432
20,8,5,"D",1,0,0,1,0,0,0,2433
42,3,4,"B",0,1,1,3,1,1,2,2434
25,7,2,"D",1,1,0,1,1,0,0,2435
48,1,4,"A",0,1,0,5,1,1,1,2436
52,0,3,"B",1,1,1,4,0,1,2,2437
35,8,2,"C",0,1,1,4,1,1,3,2438
74,0,1,"D",1,1,0,2,0,1,0,2439
33,8,4,"D",1,1,0,7,1,0,0,2440
45,11,9,"A",0,1,0,5,2,0,1,2441
49,1,1,"C",0,1,0,4,0,1,3,2442
37,8,2,"A",0,1,1,6,1,1,1,2443
40,0,5,"C",1,1,0,1,0,1,3,2444
29,0,3,"A",1,0,0,4,0,0,1,2445
72,2,7,"A",0,1,0,5,2,0,1,2446
49,2,4,"B",1,1,1,7,1,1,2,2447
55,0,4,"C",0,1,1,3,1,1,3,2448
28,14,2,"D",0,0,1,3,0,1,0,2449
52,1,1,"A",0,0,1,3,0,3,1,2450
41,0,1,"A",1,0,0,4,0,1,1,2451
56,0,2,"B",1,1,1,1,2,1,2,2452
51,9,1,"A",1,1,1,8,1,3,1,2453
57,0,2,"A",0,1,1,3,0,1,1,2454
60,0,4,"A",0,1,1,3,0,1,1,2455
27,14,3,"D",0,0,0,3,0,1,0,2456
50,0,3,"B",0,1,1,6,1,5,2,2457
40,2,1,"B",1,0,1,4,0,1,2,2458
69,9,2,"C",1,1,1,4,2,1,3,2459
41,1,1,"D",1,0,1,8,0,1,0,2460
70,1,1,"A",0,1,0,3,0,1,1,2461
32,1,1,"A",0,0,1,3,0,0,1,2462
73,0,1,"B",1,0,1,2,0,1,2,2463
19,7,5,"D",0,0,0,1,0,5,0,2464
70,1,2,"C",0,1,0,4,1,1,3,2465
33,9,2,"D",0,1,1,6,1,0,0,2466
49,1,5,"C",1,1,1,4,1,1,3,2467
89,1,3,"A",1,1,1,2,2,1,1,2468
25,6,1,"D",0,0,0,6,0,1,0,2469
35,5,2,"B",1,1,1,1,0,1,2,2470
47,0,2,"C",0,1,1,4,1,3,3,2471
48,1,1,"D",1,0,1,4,0,2,0,2472
45,5,5,"B",0,1,1,1,1,1,2,2473
46,2,2,"C",1,1,1,4,0,1,3,2474
26,1,2,"A",1,0,0,1,0,1,1,2475
51,0,5,"A",0,1,1,3,2,3,1,2476
52,9,4,"A",0,1,0,5,1,1,1,2477
42,4,2,"A",0,0,1,4,0,5,1,2478
47,9,3,"A",1,0,1,7,0,0,1,2479
41,0,3,"A",1,1,1,4,0,1,1,2480
52,2,4,"A",0,1,1,4,1,1,1,2481
30,0,5,"D",1,0,1,6,0,1,0,2482
47,0,2,"A",0,1,0,4,0,1,1,2483
61,0,4,"D",0,1,0,1,0,1,0,2484
31,9,2,"A",0,1,0,5,1,1,1,2485
47,1,3,"C",0,1,1,4,1,1,3,2486
31,0,2,"A",0,1,1,3,1,1,1,2487
30,0,5,"D",0,0,0,6,0,1,0,2488
32,0,3,"B",1,0,1,8,0,5,2,2489
41,7,2,"C",0,1,1,4,2,3,3,2490
37,3,2,"D",1,1,0,1,2,1,0,2491
51,1,1,"A",1,0,0,3,0,1,1,2492
46,1,4,"B",0,1,1,4,1,1,2,2493
38,8,1,"A",0,0,1,0,0,1,1,2494
21,7,5,"D",1,0,0,0,0,5,0,2495
21,0,5,"D",0,0,0,0,0,1,0,2496
75,3,2,"A",1,1,1,2,2,1,1,2497
68,0,2,"D",0,1,0,5,2,0,0,2498
22,1,5,"C",1,0,0,6,0,1,3,2499
35,9,1,"D",1,0,1,0,0,1,0,2500
35,1,4,"C",0,1,1,4,1,1,3,2501
72,0,2,"B",0,1,1,4,1,1,2,2502
68,2,1,"B",0,1,1,4,0,1,2,2503
27,7,3,"C",0,0,0,6,0,1,3,2504
33,1,1,"A",1,0,0,3,0,3,1,2505
69,1,2,"B",1,1,1,3,2,1,2,2506
22,0,5,"D",0,0,0,0,0,5,0,2507
47,1,2,"A",0,1,0,3,0,1,1,2508
53,8,1,"A",0,1,1,4,0,1,1,2509
38,0,2,"A",0,1,1,3,0,0,1,2510
25,0,3,"B",1,0,0,6,0,1,2,2511
57,0,2,"B",0,1,1,4,1,1,2,2512
33,0,5,"B",1,1,1,3,0,1,2,2513
22,0,6,"D",1,0,0,0,0,1,0,2514
68,1,2,"A",0,1,0,5,2,1,1,2515
35,13,1,"B",0,0,1,4,0,1,2,2516
27,1,4,"D",0,0,0,0,0,1,0,2517
52,1,4,"C",0,1,1,4,0,1,3,2518
46,8,1,"A",0,1,0,3,0,3,1,2519
40,0,4,"A",1,0,1,4,0,3,1,2520
62,1,1,"B",1,1,1,7,0,5,2,2521
43,8,1,"B",1,1,1,3,0,1,2,2522
42,9,1,"C",1,0,1,4,0,1,3,2523
19,1,6,"C",0,0,0,3,0,0,3,2524
43,5,2,"A",0,1,1,1,2,3,1,2525
32,9,4,"D",0,0,0,6,0,3,0,2526
40,8,2,"B",0,0,1,4,0,3,2,2527
48,0,2,"B",1,1,1,1,2,0,2,2528
38,7,1,"C",0,0,1,6,0,1,3,2529
68,2,3,"A",0,1,0,2,0,0,1,2530
35,2,3,"B",0,1,1,4,0,5,2,2531
60,0,2,"C",0,1,1,4,1,1,3,2532
26,1,5,"B",1,0,1,0,0,1,2,2533
28,5,4,"D",1,0,1,4,0,1,0,2534
75,1,1,"D",0,1,0,2,0,0,0,2535
25,2,2,"D",1,1,0,3,0,1,0,2536
35,8,2,"C",1,1,1,4,1,1,3,2537
56,0,1,"A",0,1,1,6,0,1,1,2538
41,2,2,"A",0,1,1,3,1,1,1,2539
36,1,2,"A",1,0,1,0,0,1,1,2540
31,0,2,"A",1,0,1,4,0,1,1,2541
68,0,2,"D",0,1,0,2,0,1,0,2542
30,1,4,"D",0,0,0,0,0,5,0,2543
62,1,2,"C",0,1,0,4,1,1,3,2544
39,10,1,"D",1,0,1,7,0,5,0,2545
72,0,7,"D",1,1,0,2,2,3,0,2546
31,1,3,"C",0,0,1,0,0,1,3,2547
65,1,4,"C",1,1,1,4,1,1,3,2548
68,1,1,"A",0,1,1,4,0,1,1,2549
39,1,4,"B",0,1,0,3,1,0,2,2550
28,8,4,"C",1,0,0,0,0,3,3,2551
43,8,2,"B",0,1,1,4,1,1,2,2552
77,1,2,"A",0,1,1,4,2,1,1,2553
42,13,1,"C",1,0,1,4,0,1,3,2554
31,14,4,"B",0,0,1,0,0,1,2,2555
85,0,3,"A",1,0,1,2,0,1,1,2556
26,1,2,"A",0,0,1,4,0,1,1,2557
35,0,1,"B",1,0,1,4,0,1,2,2558
76,1,2,"C",1,1,1,4,2,1,3,2559
37,9,1,"D",1,0,0,7,0,1,0,2560
33,2,4,"A",0,0,0,6,0,1,1,2561
40,0,1,"B",1,1,1,4,0,1,2,2562
79,0,1,"D",0,0,0,2,0,0,0,2563
47,0,3,"A",0,0,1,1,0,1,1,2564
78,3,2,"A",1,1,0,3,1,1,1,2565
50,0,4,"C",0,1,1,5,2,1,3,2566
46,1,2,"B",1,1,1,4,1,1,2,2567
37,0,2,"D",1,0,0,4,0,1,0,2568
35,11,2,"A",1,1,0,4,0,0,1,2569
51,9,3,"A",0,1,0,5,1,0,1,2570
51,1,1,"B",1,0,1,4,0,1,2,2571
71,8,2,"C",1,1,1,2,2,1,3,2572
77,0,1,"A",0,1,0,2,0,1,1,2573
60,0,3,"C",0,1,1,4,0,1,3,2574
43,0,1,"B",1,1,1,6,0,1,2,2575
30,8,3,"A",0,0,0,0,0,1,1,2576
62,1,4,"C",1,1,1,4,0,0,3,2577
48,0,2,"B",1,1,1,4,1,3,2,2578
66,0,1,"D",0,1,1,2,0,1,0,2579
25,0,3,"A",0,1,0,5,2,4,1,2580
52,0,4,"C",0,1,1,0,1,1,3,2581
18,5,4,"D",1,0,0,0,0,1,0,2582
58,1,2,"C",1,1,1,4,1,1,3,2583
39,2,5,"B",0,1,0,5,2,1,2,2584
19,0,3,"A",0,1,0,5,2,0,1,2585
46,9,1,"A",1,1,0,1,1,0,1,2586
68,0,2,"C",0,1,1,2,2,1,3,2587
41,0,2,"B",0,1,0,4,1,1,2,2588
25,0,1,"D",0,0,1,0,0,1,0,2589
50,1,5,"B",0,1,0,4,1,0,2,2590
30,1,2,"D",1,1,0,4,1,3,0,2591
52,0,4,"C",1,1,1,4,1,1,3,2592
31,4,7,"D",0,0,0,6,0,0,0,2593
80,0,1,"D",0,1,1,2,0,1,0,2594
51,1,4,"B",0,1,1,4,1,1,2,2595
39,2,4,"C",1,1,1,4,1,1,3,2596
29,1,4,"B",0,0,1,6,0,1,2,2597
53,4,5,"C",1,1,1,4,1,1,3,2598
33,11,9,"A",0,1,1,5,2,0,1,2599
69,0,4,"C",0,1,1,2,2,1,3,2600
33,1,3,"D",1,0,0,6,0,1,0,2601
48,9,3,"B",1,1,0,5,1,5,2,2602
28,8,2,"A",0,1,0,6,0,1,1,2603
29,8,1,"B",1,0,1,4,0,1,2,2604
47,0,1,"B",1,1,1,4,0,0,2,2605
40,14,6,"D",1,0,0,6,0,2,0,2606
63,1,4,"C",1,1,0,4,1,1,3,2607
27,0,4,"C",0,0,1,3,0,5,3,2608
38,9,5,"D",1,1,0,6,1,0,0,2609
59,4,4,"B",0,1,1,4,2,1,2,2610
38,11,3,"A",0,1,1,6,1,1,1,2611
22,1,4,"B",1,0,0,6,0,2,2,2612
25,3,4,"C",1,0,0,6,0,3,3,2613
49,1,1,"A",0,1,1,4,0,1,1,2614
45,0,2,"C",0,1,1,4,1,1,3,2615
21,7,3,"B",0,0,0,8,0,1,2,2616
26,0,3,"D",1,0,0,1,0,1,0,2617
52,8,4,"A",1,1,1,4,1,1,1,2618
27,1,5,"D",0,0,1,3,0,0,0,2619
32,12,4,"D",0,0,0,0,0,1,0,2620
89,1,2,"A",1,1,1,2,2,1,1,2621
39,1,2,"C",0,1,1,4,1,1,3,2622
41,3,3,"C",1,1,1,4,1,1,3,2623
26,0,3,"B",0,0,1,0,0,1,2,2624
45,7,2,"A",0,1,1,4,0,5,1,2625
40,14,1,"A",1,0,1,3,0,1,1,2626
26,1,2,"D",1,0,1,4,0,1,0,2627
63,3,1,"B",1,0,1,0,0,1,2,2628
40,12,4,"A",1,0,0,3,0,1,1,2629
53,4,1,"A",0,0,1,3,0,1,1,2630
77,1,2,"D",1,1,0,2,2,1,0,2631
60,4,4,"B",1,1,1,1,1,5,2,2632
59,7,2,"B",1,1,1,3,1,1,2,2633
72,1,3,"C",0,1,0,3,1,1,3,2634
63,4,1,"A",0,0,1,4,0,1,1,2635
53,0,2,"B",0,1,0,5,2,1,2,2636
81,9,2,"C",0,1,0,5,2,1,3,2637
76,5,3,"A",1,1,1,2,2,1,1,2638
28,1,2,"A",1,0,0,0,0,0,1,2639
27,0,2,"A",0,0,1,6,0,3,1,2640
43,11,1,"B",0,0,1,4,0,3,2,2641
57,1,4,"B",0,1,1,3,1,1,2,2642
31,9,1,"D",1,0,0,0,0,1,0,2643
68,1,1,"D",0,0,1,2,0,1,0,2644
46,0,4,"A",0,1,0,5,2,1,1,2645
32,0,4,"A",0,0,0,0,0,1,1,2646
51,5,3,"B",0,1,1,4,1,1,2,2647
19,1,4,"D",0,0,0,0,0,5,0,2648
62,1,2,"C",0,1,1,6,2,1,3,2649
47,1,2,"C",0,1,1,4,1,1,3,2650
28,13,2,"B",0,1,1,7,1,1,2,2651
61,0,2,"C",0,1,1,3,1,1,3,2652
25,1,4,"B",1,0,0,8,0,0,2,2653
74,1,2,"B",0,1,1,2,2,0,2,2654
38,1,2,"B",0,1,0,4,0,1,2,2655
28,9,2,"B",0,1,1,0,2,1,2,2656
56,0,4,"B",0,1,1,5,2,1,2,2657
25,0,3,"A",0,0,0,8,0,3,1,2658
37,7,2,"B",1,0,1,4,0,3,2,2659
50,0,2,"C",1,1,1,6,1,2,3,2660
48,3,1,"A",1,1,1,4,0,1,1,2661
48,0,1,"A",0,0,1,4,0,1,1,2662
48,0,4,"B",0,1,1,4,2,1,2,2663
39,9,2,"B",0,1,1,4,1,3,2,2664
36,9,2,"B",0,1,1,4,1,1,2,2665
63,1,1,"C",0,1,1,4,0,1,3,2666
37,6,2,"C",0,1,1,4,0,1,3,2667
42,2,3,"B",0,0,1,3,0,1,2,2668
39,1,2,"A",0,1,0,6,2,1,1,2669
28,0,1,"A",1,0,0,5,0,5,1,2670
40,0,1,"D",0,1,1,0,0,1,0,2671
88,0,2,"C",1,1,1,2,0,1,3,2672
57,7,2,"C",0,1,1,5,2,0,3,2673
28,1,4,"D",1,0,0,8,0,3,0,2674
42,8,4,"C",1,1,0,7,1,3,3,2675
18,6,7,"D",0,0,0,0,0,1,0,2676
27,0,2,"D",1,0,0,1,0,1,0,2677
68,0,1,"C",0,1,0,4,0,1,3,2678
42,0,2,"A",0,1,1,3,1,0,1,2679
18,7,4,"D",0,0,0,0,0,1,0,2680
48,0,4,"C",1,1,1,4,2,1,3,2681
35,1,2,"A",0,1,1,3,0,1,1,2682
43,6,1,"B",1,1,1,6,0,3,2,2683
25,1,4,"D",0,0,0,0,0,1,0,2684
78,1,1,"C",1,1,0,2,0,1,3,2685
53,4,6,"C",1,1,1,4,1,1,3,2686
33,10,2,"D",0,1,1,6,1,5,0,2687
49,1,1,"C",0,0,1,4,0,1,3,2688
31,1,4,"A",1,0,1,0,0,1,1,2689
51,4,2,"C",0,1,1,3,1,5,3,2690
19,1,2,"D",0,0,0,6,0,0,0,2691
41,4,3,"B",0,1,1,4,1,1,2,2692
57,0,2,"B",1,0,1,6,0,1,2,2693
35,0,2,"B",1,1,1,4,1,1,2,2694
40,8,1,"A",1,0,0,1,0,1,1,2695
26,0,5,"D",0,0,1,0,0,1,0,2696
50,0,2,"C",1,1,1,1,1,1,3,2697
82,0,2,"A",0,1,0,2,2,1,1,2698
41,1,2,"B",0,1,1,4,1,1,2,2699
36,2,2,"A",0,1,1,3,1,3,1,2700
22,2,9,"B",0,1,0,6,2,0,2,2701
27,1,4,"D",1,0,0,1,0,1,0,2702
75,0,2,"C",1,0,1,2,0,1,3,2703
32,0,3,"D",0,0,1,0,0,1,0,2704
51,1,2,"C",1,1,1,4,1,1,3,2705
58,0,4,"B",1,1,1,4,1,3,2,2706
50,8,2,"B",1,1,1,4,1,1,2,2707
55,1,4,"C",0,1,1,7,1,1,3,2708
30,11,1,"D",1,0,0,1,0,0,0,2709
69,0,2,"C",1,1,1,4,1,0,3,2710
41,1,5,"A",1,1,0,8,2,3,1,2711
47,0,5,"B",0,1,0,5,2,1,2,2712
30,0,1,"A",1,0,1,4,0,1,1,2713
33,3,5,"A",0,0,1,4,0,1,1,2714
31,1,4,"D",1,0,1,0,0,0,0,2715
25,4,5,"D",1,1,0,1,1,0,0,2716
47,1,2,"B",1,1,1,3,0,0,2,2717
52,1,6,"B",0,1,1,5,1,1,2,2718
63,1,3,"C",1,1,1,4,2,1,3,2719
39,0,3,"B",1,1,0,4,2,1,2,2720
38,0,5,"D",0,0,0,6,0,3,0,2721
43,2,1,"D",1,0,1,0,0,0,0,2722
28,10,1,"D",1,0,0,7,0,1,0,2723
21,4,4,"D",0,0,0,0,0,1,0,2724
50,7,2,"C",0,1,1,4,1,1,3,2725
25,0,5,"D",0,0,0,0,0,3,0,2726
58,1,2,"C",0,1,1,4,2,1,3,2727
37,5,3,"C",1,1,1,4,2,1,3,2728
23,5,5,"D",0,0,0,0,0,5,0,2729
23,0,3,"D",1,0,0,0,0,5,0,2730
77,0,2,"A",0,1,0,2,2,1,1,2731
35,1,3,"B",0,1,1,3,1,1,2,2732
25,4,3,"D",0,0,0,0,0,0,0,2733
42,0,4,"B",1,1,1,1,2,1,2,2734
25,1,3,"D",1,0,0,5,0,1,0,2735
33,1,5,"B",0,0,0,0,0,5,2,2736
51,0,5,"C",0,1,1,3,1,1,3,2737
31,8,4,"D",1,0,0,8,0,1,0,2738
32,12,5,"D",1,0,0,3,0,1,0,2739
32,0,1,"A",0,0,0,6,0,1,1,2740
45,0,1,"D",1,0,0,8,0,1,0,2741
37,1,3,"D",0,0,1,1,0,1,0,2742
52,9,1,"B",1,0,1,4,0,1,2,2743
42,0,2,"A",1,1,0,1,1,1,1,2744
59,1,5,"C",0,1,1,5,2,1,3,2745
66,0,3,"C",1,1,1,4,1,1,3,2746
52,0,4,"B",1,1,1,1,1,1,2,2747
47,1,5,"C",0,1,1,5,2,0,3,2748
42,0,3,"A",0,1,1,4,1,2,1,2749
48,1,4,"C",0,1,1,4,1,4,3,2750
84,0,2,"A",0,1,0,2,2,1,1,2751
39,3,1,"A",1,0,1,4,0,1,1,2752
61,1,2,"A",0,1,0,8,2,3,1,2753
46,1,2,"C",1,1,0,4,2,1,3,2754
33,2,2,"D",1,1,1,1,1,1,0,2755
31,7,4,"A",1,1,1,8,2,5,1,2756
41,9,2,"A",1,1,0,3,2,0,1,2757
66,5,2,"C",0,1,1,2,0,1,3,2758
20,2,4,"D",0,0,0,0,0,1,0,2759
43,0,2,"C",0,1,0,1,1,4,3,2760
28,6,3,"A",0,0,0,3,0,1,1,2761
38,1,4,"B",1,1,1,4,1,1,2,2762
42,5,2,"C",0,1,1,0,0,0,3,2763
51,1,3,"D",0,1,1,4,0,1,0,2764
78,1,1,"D",0,1,1,2,0,1,0,2765
69,1,3,"B",0,1,1,3,2,1,2,2766
89,0,2,"B",1,1,1,2,2,1,2,2767
47,0,6,"C",1,1,1,0,1,4,3,2768
58,1,4,"C",1,1,1,2,2,4,3,2769
40,9,2,"D",0,1,0,5,1,1,0,2770
19,0,3,"D",1,0,0,6,0,0,0,2771
40,1,1,"A",1,0,1,2,0,1,1,2772
52,1,2,"D",0,1,1,0,0,1,0,2773
45,3,4,"D",0,1,0,5,2,0,0,2774
33,8,1,"A",0,0,1,4,0,1,1,2775
43,1,2,"B",0,0,1,4,0,0,2,2776
39,1,2,"B",0,1,1,6,0,0,2,2777
35,9,3,"C",0,1,1,4,2,1,3,2778
37,3,1,"D",0,0,1,5,0,1,0,2779
40,1,4,"D",1,0,1,1,0,1,0,2780
28,0,4,"B",1,0,0,0,0,3,2,2781
27,6,2,"B",0,1,1,4,1,1,2,2782
62,0,3,"C",0,1,1,5,2,1,3,2783
57,0,2,"C",1,1,1,4,2,1,3,2784
62,0,4,"B",0,1,0,5,2,1,2,2785
28,0,6,"B",0,0,0,8,0,1,2,2786
52,0,3,"C",1,1,1,4,2,1,3,2787
40,8,1,"A",1,0,1,0,0,1,1,2788
53,0,1,"B",1,0,1,4,0,1,2,2789
73,7,2,"A",1,1,1,2,0,1,1,2790
26,6,2,"D",1,1,0,1,0,3,0,2791
53,6,3,"C",0,1,1,4,1,1,3,2792
