"ID","Gender","Ever_Married","Age","Graduated","Profession","Work_Experience","Spending_Score","Family_Size","Var_1","Segmentation"
2206,"Male","Yes",63,"Yes","Artist",1,"Average",3,"Cat_6","C"
2207,"Female","Yes",65,"No","Lawyer",3,"High",2,"Cat_6","A"
2208,"Male","No",47,"Yes","Artist",0,"Low",1,"Cat_6","B"
2209,"Female","Yes",45,"Yes","Artist",9,"Low",2,"Cat_6","C"
2210,"Male","Yes",79,"No","Lawyer",0,"Low",1,"Cat_6","D"
2211,"Male","Yes",65,"No","Entertainment",1,"High",2,"Cat_6","B"
2212,"Female","No",38,"Yes","Healthcare",0,"Low",2,"Cat_6","B"
2213,"Female","Yes",28,"Yes","Healthcare",3,"Low",2,"Cat_6","D"
2214,"Male","No",20,"No","Healthcare",2,"Low",3,"Cat_4","D"
2215,"Female","Yes",36,"Yes","Artist",1,"Low",2,"Cat_6","C"
2216,"Male","No",22,"No","Healthcare",0,"Low",4,"Cat_6","D"
2217,"Male","Yes",56,"No","Healthcare",0,"High",4,"Cat_7","B"
2218,"Female","No",32,"Yes","Doctor",5,"Low",3,"Cat_4","A"
2219,"Female","No",33,"Yes","Healthcare",1,"Low",1,"Cat_6","D"
2220,"Female","Yes",68,"Yes","Artist",1,"High",2,"Cat_6","C"
2221,"Male","Yes",53,"Yes","Artist",3,"Average",3,"Cat_6","C"
2222,"Female","Yes",38,"Yes","Artist",7,"Average",3,"Cat_1","B"
2223,"Male","No",22,"No","Healthcare",3,"Low",5,"Cat_2","D"
2224,"Female","Yes",49,"Yes","Artist",0,"High",4,"Cat_6","C"
2225,"Male","Yes",43,"Yes","Artist",3,"Low",2,"Cat_6","B"
2226,"Female","No",33,"No","Doctor",0,"Low",1,"Cat_3","D"
2227,"Female","Yes",57,"Yes","Artist",1,"High",2,"Cat_6","C"
2228,"Female","Yes",65,"Yes","Lawyer",2,"Low",6,"Cat_1","D"
2229,"Male","Yes",36,"Yes","Entertainment",0,"Average",2,"Cat_6","C"
2230,"Female","Yes",43,"No","Engineer",4,"Average",7,"Cat_4","A"
2231,"Female","No",18,"No","Entertainment",1,"Low",5,"Cat_2","C"
2232,"Female","Yes",43,"No","Engineer",1,"Average",2,"Cat_6","B"
2233,"Male","Yes",75,"Yes","Lawyer",0,"Low",1,"Cat_6","A"
2234,"Female","Yes",27,"No","Marketing",3,"High",4,"Cat_6","D"
2235,"Male","Yes",39,"Yes","Healthcare",11,"Average",2,"Cat_6","B"
2236,"Male","Yes",61,"Yes","Artist",2,"Low",2,"Cat_6","B"
2237,"Female","Yes",73,"Yes","Lawyer",3,"Low",5,"Cat_1","D"
2238,"Male","No",26,"Yes","Engineer",0,"Low",5,"Cat_4","C"
2239,"Male","Yes",52,"Yes","Artist",7,"Average",4,"Cat_6","B"
2240,"Male","Yes",50,"Yes","Artist",1,"Low",1,"Cat_6","B"
2241,"Female","No",51,"Yes","Artist",1,"Low",1,"Cat_4","B"
2242,"Male","Yes",50,"No","Artist",1,"Average",3,"Cat_6","C"
2243,"Male","Yes",53,"Yes","Executive",9,"High",5,"Cat_4","B"
2244,"Male","Yes",40,"No","Executive",5,"Low",4,"Cat_6","D"
2245,"Female","Yes",86,"No","Lawyer",3,"Low",1,"Cat_6","D"
2246,"Female","No",26,"No","Healthcare",0,"Low",3,"Cat_5","B"
2247,"Male","No",32,"No","Entertainment",9,"Low",4,"Cat_6","A"
2248,"Female","No",22,"No","Healthcare",5,"Low",3,"Cat_2","D"
2249,"Female","Yes",36,"Yes","Artist",1,"Average",4,"Cat_6","B"
2250,"Female","Yes",69,"No","Doctor",0,"Low",1,"Cat_3","A"
2251,"Female","No",39,"Yes","Entertainment",1,"Low",2,"Cat_4","A"
2252,"Female","Yes",81,"No","Doctor",0,"High",2,"Cat_6","A"
2253,"Female","No",28,"No","Healthcare",9,"Low",2,"Cat_6","D"
2254,"Male","No",28,"Yes","Healthcare",6,"Low",5,"Cat_2","D"
2255,"Male","No",52,"Yes","Entertainment",1,"Low",5,"Cat_4","B"
2256,"Female","Yes",40,"Yes","Artist",4,"Average",5,"Cat_6","B"
2257,"Male","No",68,"Yes","Lawyer",0,"Low",3,"Cat_6","B"
2258,"Female","Yes",37,"No","Artist",0,"Average",2,"Cat_4","D"
2259,"Male","No",26,"No","Marketing",1,"Low",5,"Cat_6","D"
2260,"Female","No",31,"No","Homemaker",8,"Low",1,"Cat_6","A"
2261,"Female","Yes",68,"Yes","Lawyer",0,"Low",2,"Cat_6","C"
2262,"Male","Yes",42,"Yes","Artist",1,"Average",3,"Cat_6","C"
2263,"Female","Yes",56,"Yes","Artist",1,"Average",6,"Cat_5","C"
2264,"Male","Yes",37,"No","Entertainment",1,"Low",2,"Cat_6","A"
2265,"Male","Yes",58,"Yes","Artist",1,"Low",1,"Cat_6","D"
2266,"Male","No",33,"Yes","Artist",7,"Low",1,"Cat_6","A"
2267,"Female","No",31,"No","Homemaker",8,"Low",1,"Cat_4","D"
2268,"Female","No",27,"Yes","Healthcare",0,"Low",3,"Cat_2","B"
2269,"Male","No",25,"No","Healthcare",7,"Low",4,"Cat_4","D"
2270,"Male","Yes",51,"Yes","Entertainment",1,"Average",2,"Cat_6","B"
2271,"Male","Yes",37,"No","Engineer",8,"Average",3,"Cat_4","D"
2272,"Male","Yes",69,"Yes","Executive",1,"Average",4,"Cat_6","B"
2273,"Female","Yes",45,"No","Doctor",1,"Low",1,"Cat_6","A"
2274,"Male","Yes",38,"Yes","Artist",0,"Low",2,"Cat_6","C"
2275,"Male","Yes",51,"Yes","Artist",3,"Average",4,"Cat_2","C"
2276,"Female","No",19,"No","Healthcare",0,"Low",4,"Cat_6","D"
2277,"Female","No",32,"Yes","Healthcare",6,"Low",3,"Cat_6","D"
2278,"Male","No",31,"Yes","Artist",1,"Low",5,"Cat_6","C"
2279,"Male","No",19,"No","Healthcare",13,"Low",3,"Cat_3","D"
2280,"Male","Yes",41,"Yes","Entertainment",0,"Average",3,"Cat_4","C"
2281,"Female","No",39,"No","Entertainment",3,"Low",6,"Cat_3","D"
2282,"Male","No",21,"No","Healthcare",1,"Low",4,"Cat_3","D"
2283,"Female","No",30,"No","Healthcare",0,"Low",3,"Cat_6","D"
2284,"Male","No",23,"No","Healthcare",0,"Low",6,"Cat_3","D"
2285,"Male","Yes",65,"No","Entertainment",0,"Average",2,"Cat_6","C"
2286,"Male","No",31,"No","Executive",4,"Low",5,"Cat_1","D"
2287,"Female","Yes",74,"Yes","Lawyer",3,"Low",3,"Cat_6","D"
2288,"Female","Yes",73,"No","Artist",1,"High",2,"Cat_6","C"
2289,"Male","Yes",42,"Yes","Doctor",9,"Low",2,"Cat_6","C"
2290,"Male","No",47,"Yes","Artist",0,"Low",1,"Cat_3","B"
2291,"Female","No",19,"No","Healthcare",0,"Low",5,"Cat_2","D"
2292,"Male","Yes",45,"No","Executive",3,"Low",9,"Cat_4","D"
2293,"Female","No",25,"No","Marketing",3,"Low",7,"Cat_2","B"
2294,"Female","No",28,"Yes","Entertainment",0,"Low",3,"Cat_6","D"
2295,"Female","Yes",40,"Yes","Artist",3,"Average",2,"Cat_4","C"
2296,"Female","No",30,"Yes","Doctor",8,"Low",3,"Cat_4","D"
2297,"Female","Yes",50,"Yes","Engineer",1,"Average",4,"Cat_4","B"
2298,"Male","No",26,"Yes","Healthcare",8,"Low",2,"Cat_6","C"
2299,"Male","Yes",82,"Yes","Lawyer",0,"Low",1,"Cat_6","B"
2300,"Male","Yes",33,"Yes","Healthcare",0,"Low",2,"Cat_7","A"
2301,"Male","No",50,"No","Marketing",1,"Low",2,"Cat_7","C"
2302,"Male","Yes",83,"No","Lawyer",0,"Low",1,"Cat_6","D"
2303,"Female","No",37,"Yes","Artist",9,"Low",1,"Cat_6","B"
2304,"Male","Yes",37,"Yes","Artist",6,"Average",2,"Cat_3","A"
2305,"Male","Yes",55,"No","Lawyer",1,"High",3,"Cat_6","C"
2306,"Male","Yes",61,"Yes","Artist",0,"Low",2,"Cat_3","C"
2307,"Female","Yes",39,"Yes","Artist",3,"Low",1,"Cat_6","B"
2308,"Male","Yes",40,"Yes","Artist",0,"Low",2,"Cat_6","C"
2309,"Male","Yes",55,"Yes","Artist",2,"Low",1,"Cat_6","B"
2310,"Male","Yes",50,"Yes","Healthcare",1,"Average",1,"Cat_6","D"
2311,"Male","No",26,"Yes","Doctor",13,"Low",3,"Cat_6","D"
2312,"Female","No",53,"Yes","Artist",1,"Low",1,"Cat_6","C"
2313,"Female","No",28,"Yes","Healthcare",3,"Low",5,"Cat_6","B"
2314,"Female","No",32,"Yes","Artist",7,"Low",3,"Cat_6","A"
2315,"Female","No",31,"Yes","Marketing",0,"Low",1,"Cat_6","D"
2316,"Male","No",30,"No","Healthcare",0,"Low",4,"Cat_6","B"
2317,"Female","No",31,"Yes","Doctor",0,"Low",4,"Cat_3","A"
2318,"Male","Yes",47,"Yes","Artist",4,"Low",1,"Cat_3","A"
2319,"Male","Yes",49,"Yes","Artist",3,"Average",2,"Cat_6","C"
2320,"Male","Yes",37,"Yes","Executive",1,"High",3,"Cat_6","B"
2321,"Male","Yes",47,"Yes","Artist",13,"Average",4,"Cat_6","C"
2322,"Male","Yes",52,"Yes","Executive",0,"High",2,"Cat_6","C"
2323,"Female","No",20,"No","Entertainment",3,"Low",7,"Cat_3","C"
2324,"Male","Yes",79,"No","Lawyer",0,"High",2,"Cat_6","B"
2325,"Male","Yes",47,"No","Executive",1,"High",6,"Cat_6","C"
2326,"Male","No",23,"No","Healthcare",1,"Low",4,"Cat_6","D"
2327,"Female","No",29,"No","Engineer",9,"Low",4,"Cat_4","A"
2328,"Female","No",33,"Yes","Engineer",10,"Low",1,"Cat_6","A"
2329,"Male","No",21,"No","Healthcare",0,"Low",4,"Cat_3","D"
2330,"Male","No",18,"No","Healthcare",8,"Low",4,"Cat_6","D"
2331,"Male","Yes",70,"Yes","Lawyer",0,"High",2,"Cat_6","C"
2332,"Female","Yes",56,"Yes","Artist",0,"Average",2,"Cat_6","C"
2333,"Male","Yes",42,"Yes","Artist",2,"Average",2,"Cat_6","B"
2334,"Female","No",28,"No","Healthcare",1,"Low",2,"Cat_6","B"
2335,"Male","Yes",41,"Yes","Executive",3,"High",4,"Cat_4","B"
2336,"Male","Yes",81,"Yes","Lawyer",9,"Low",1,"Cat_6","D"
2337,"Male","No",30,"Yes","Artist",9,"Low",2,"Cat_6","A"
2338,"Male","Yes",53,"No","Lawyer",0,"Low",2,"Cat_6","D"
2339,"Male","No",26,"Yes","Executive",9,"Low",4,"Cat_6","D"
2340,"Male","Yes",51,"Yes","Artist",1,"Low",3,"Cat_6","C"
2341,"Male","No",19,"No","Artist",9,"Low",7,"Cat_7","B"
2342,"Male","Yes",75,"Yes","Lawyer",0,"High",2,"Cat_6","B"
2343,"Female","Yes",51,"Yes","Engineer",0,"Low",1,"Cat_6","A"
2344,"Female","Yes",70,"Yes","Homemaker",3,"Low",2,"Cat_6","B"
2345,"Female","No",38,"Yes","Doctor",0,"Low",1,"Cat_6","A"
2346,"Female","No",21,"No","Healthcare",0,"Low",4,"Cat_4","D"
2347,"Male","Yes",80,"No","Lawyer",0,"Low",1,"Cat_4","B"
2348,"Female","Yes",19,"No","Artist",3,"High",2,"Cat_4","D"
2349,"Male","No",33,"No","Entertainment",1,"Low",1,"Cat_6","D"
2350,"Male","Yes",48,"Yes","Entertainment",1,"Average",6,"Cat_6","C"
2351,"Female","No",33,"Yes","Engineer",0,"Low",3,"Cat_1","D"
2352,"Female","No",31,"No","Healthcare",1,"Low",4,"Cat_6","C"
2353,"Female","Yes",48,"Yes","Artist",1,"Average",2,"Cat_6","C"
2354,"Male","Yes",49,"No","Engineer",1,"Average",8,"Cat_4","D"
2355,"Female","Yes",38,"No","Artist",1,"Low",1,"Cat_6","B"
2356,"Female","No",39,"Yes","Artist",0,"Low",1,"Cat_3","A"
2357,"Female","Yes",46,"Yes","Entertainment",2,"Average",2,"Cat_6","B"
2358,"Male","Yes",41,"Yes","Artist",8,"Average",2,"Cat_6","C"
2359,"Female","Yes",31,"No","Artist",0,"High",3,"Cat_4","A"
2360,"Male","Yes",37,"Yes","Entertainment",8,"Average",2,"Cat_6","C"
2361,"Female","Yes",58,"No","Engineer",1,"Low",1,"Cat_6","B"
2362,"Female","Yes",49,"Yes","Engineer",1,"Average",2,"Cat_6","A"
2363,"Female","Yes",47,"No","Marketing",2,"Low",1,"Cat_6","D"
2364,"Male","No",30,"Yes","Healthcare",1,"Low",4,"Cat_6","D"
2365,"Female","Yes",33,"Yes","Doctor",0,"Low",2,"Cat_6","A"
2366,"Male","No",33,"No","Healthcare",0,"Low",4,"Cat_2","B"
2367,"Male","No",27,"Yes","Healthcare",3,"Low",1,"Cat_6","D"
2368,"Male","Yes",45,"No","Doctor",8,"Low",2,"Cat_3","A"
2369,"Female","Yes",45,"Yes","Homemaker",1,"Low",1,"Cat_3","B"
2370,"Female","No",35,"No","Marketing",3,"Low",3,"Cat_3","D"
2371,"Female","No",21,"No","Entertainment",1,"Low",4,"Cat_6","D"
2372,"Female","No",36,"Yes","Artist",9,"Low",2,"Cat_6","A"
2373,"Female","No",28,"No","Artist",0,"Low",5,"Cat_2","C"
2374,"Female","Yes",89,"No","Lawyer",0,"High",2,"Cat_6","A"
2375,"Male","Yes",48,"Yes","Executive",1,"High",4,"Cat_6","C"
2376,"Male","Yes",47,"No","Entertainment",0,"High",5,"Cat_6","C"
2377,"Male","No",23,"No","Healthcare",3,"Low",3,"Cat_6","D"
2378,"Female","No",18,"No","Healthcare",3,"Low",4,"Cat_6","D"
2379,"Male","Yes",58,"Yes","Lawyer",2,"High",2,"Cat_6","C"
2380,"Male","Yes",42,"No","Entertainment",9,"Average",3,"Cat_6","A"
2381,"Male","No",22,"No","Healthcare",0,"Low",3,"Cat_6","D"
2382,"Female","Yes",50,"Yes","Artist",2,"Low",1,"Cat_6","B"
2383,"Female","Yes",40,"Yes","Entertainment",3,"Low",2,"Cat_6","B"
2384,"Male","Yes",73,"No","Executive",0,"High",2,"Cat_6","D"
2385,"Female","No",27,"No","Artist",3,"Low",3,"Cat_3","D"
2386,"Male","Yes",40,"Yes","Artist",1,"Average",3,"Cat_6","B"
2387,"Female","Yes",81,"No","Lawyer",1,"Low",3,"Cat_3","B"
2388,"Female","Yes",39,"No","Doctor",0,"Low",2,"Cat_6","B"
2389,"Male","Yes",83,"No","Lawyer",0,"High",3,"Cat_3","D"
2390,"Male","Yes",55,"Yes","Artist",0,"Low",1,"Cat_6","B"
2391,"Male","Yes",51,"Yes","Doctor",3,"Low",3,"Cat_6","A"
2392,"Male","Yes",42,"No","Engineer",5,"Average",4,"Cat_4","A"
2393,"Male","Yes",27,"Yes","Artist",1,"Low",4,"Cat_6","C"
2394,"Male","Yes",53,"Yes","Executive",1,"High",2,"Cat_6","C"
2395,"Female","Yes",40,"Yes","Engineer",1,"Average",7,"Cat_6","A"
2396,"Male","Yes",62,"Yes","Artist",0,"Average",9,"Cat_3","C"
2397,"Male","No",21,"No","Healthcare",3,"Low",5,"Cat_2","D"
2398,"Male","No",27,"No","Healthcare",1,"Low",3,"Cat_3","A"
2399,"Female","Yes",84,"No","Lawyer",0,"High",2,"Cat_6","B"
2400,"Male","No",26,"No","Doctor",4,"Low",3,"Cat_6","D"
2401,"Male","No",26,"No","Artist",11,"Low",4,"Cat_6","C"
2402,"Male","No",33,"Yes","Entertainment",1,"Low",1,"Cat_6","A"
2403,"Male","No",27,"Yes","Artist",0,"Low",1,"Cat_6","D"
2404,"Female","Yes",46,"No","Entertainment",9,"Average",5,"Cat_4","D"
2405,"Female","No",28,"No","Doctor",3,"Low",5,"Cat_2","A"
2406,"Female","No",25,"No","Healthcare",1,"Low",3,"Cat_6","A"
2407,"Female","Yes",47,"Yes","Marketing",3,"Average",3,"Cat_6","A"
2408,"Female","No",32,"No","Artist",3,"Low",4,"Cat_6","C"
2409,"Female","No",21,"No","Healthcare",6,"Low",4,"Cat_4","D"
2410,"Male","Yes",73,"Yes","Lawyer",1,"High",4,"Cat_6","C"
2411,"Male","Yes",35,"Yes","Artist",0,"Average",2,"Cat_6","B"
2412,"Male","No",52,"Yes","Artist",1,"Low",1,"Cat_6","B"
2413,"Male","Yes",40,"Yes","Artist",1,"Low",2,"Cat_6","B"
2414,"Male","No",31,"Yes","Healthcare",3,"Low",1,"Cat_6","D"
2415,"Female","Yes",88,"Yes","Lawyer",1,"High",2,"Cat_6","A"
2416,"Female","No",41,"Yes","Artist",1,"Low",2,"Cat_6","C"
2417,"Female","Yes",73,"Yes","Artist",3,"Average",2,"Cat_6","C"
2418,"Male","Yes",45,"Yes","Artist",7,"Average",5,"Cat_6","B"
2419,"Male","Yes",41,"No","Entertainment",0,"Low",4,"Cat_6","A"
2420,"Male","Yes",75,"Yes","Lawyer",0,"High",2,"Cat_6","C"
2421,"Male","No",39,"Yes","Entertainment",9,"Low",2,"Cat_6","A"
2422,"Female","Yes",89,"No","Lawyer",0,"High",2,"Cat_6","A"
2423,"Male","Yes",45,"Yes","Doctor",0,"Low",1,"Cat_6","A"
2424,"Female","Yes",50,"Yes","Artist",1,"Average",2,"Cat_6","C"
2425,"Male","Yes",43,"No","Healthcare",6,"High",2,"Cat_7","B"
2426,"Male","Yes",50,"Yes","Executive",4,"Average",4,"Cat_2","B"
2427,"Female","No",53,"No","Entertainment",0,"Low",3,"Cat_6","D"
2428,"Male","Yes",76,"Yes","Lawyer",1,"Low",1,"Cat_3","D"
2429,"Female","Yes",27,"Yes","Homemaker",3,"Average",2,"Cat_6","A"
2430,"Male","Yes",41,"Yes","Artist",1,"Low",2,"Cat_6","A"
2431,"Male","Yes",50,"Yes","Entertainment",3,"Low",2,"Cat_6","A"
2432,"Male","Yes",56,"Yes","Executive",8,"High",5,"Cat_6","C"
2433,"Male","Yes",28,"No","Entertainment",0,"Average",2,"Cat_4","A"
2434,"Female","No",46,"Yes","Marketing",0,"Low",3,"Cat_6","D"
2435,"Female","Yes",72,"Yes","Doctor",1,"Average",2,"Cat_6","A"
2436,"Female","Yes",41,"No","Doctor",3,"Low",1,"Cat_7","A"
2437,"Male","No",28,"No","Artist",0,"Low",2,"Cat_6","A"
2438,"Female","Yes",27,"Yes","Artist",8,"Average",2,"Cat_6","C"
2439,"Female","No",32,"No","Healthcare",2,"Low",4,"Cat_4","D"
2440,"Female","No",20,"No","Doctor",9,"Low",4,"Cat_6","A"
2441,"Male","Yes",45,"Yes","Executive",1,"Low",5,"Cat_6","B"
2442,"Male","No",59,"Yes","Artist",1,"Low",2,"Cat_6","C"
2443,"Female","No",46,"Yes","Marketing",1,"Low",1,"Cat_6","D"
2444,"Male","Yes",46,"Yes","Artist",1,"Average",3,"Cat_6","C"
2445,"Male","No",41,"Yes","Artist",9,"Low",2,"Cat_6","A"
2446,"Male","Yes",70,"Yes","Lawyer",1,"High",2,"Cat_6","B"
2447,"Male","Yes",42,"Yes","Artist",9,"Average",3,"Cat_6","B"
2448,"Female","Yes",60,"No","Engineer",1,"High",9,"Cat_4","A"
2449,"Male","No",37,"Yes","Engineer",9,"Low",1,"Cat_6","D"
2450,"Male","No",18,"No","Healthcare",0,"Low",7,"Cat_3","D"
2451,"Male","Yes",52,"Yes","Artist",1,"Average",3,"Cat_6","C"
2452,"Female","No",32,"No","Artist",2,"Low",4,"Cat_2","A"
2453,"Male","Yes",74,"No","Lawyer",8,"Low",1,"Cat_6","A"
2454,"Male","Yes",29,"Yes","Healthcare",1,"Average",2,"Cat_6","A"
2455,"Male","Yes",37,"Yes","Entertainment",0,"Average",3,"Cat_6","C"
2456,"Male","Yes",45,"No","Entertainment",1,"Average",3,"Cat_6","B"
2457,"Male","No",22,"No","Healthcare",1,"Low",4,"Cat_6","D"
2458,"Female","Yes",60,"Yes","Engineer",0,"Low",3,"Cat_3","B"
2459,"Female","Yes",51,"Yes","Artist",8,"Average",2,"Cat_6","B"
2460,"Male","Yes",59,"Yes","Artist",0,"Average",2,"Cat_6","C"
2461,"Male","Yes",55,"Yes","Artist",1,"Average",2,"Cat_7","A"
2462,"Male","No",22,"No","Healthcare",2,"Low",3,"Cat_4","D"
2463,"Male","No",18,"No","Artist",3,"Low",4,"Cat_4","D"
2464,"Female","Yes",84,"No","Lawyer",0,"High",2,"Cat_6","B"
2465,"Male","No",35,"Yes","Artist",3,"Low",1,"Cat_6","A"
2466,"Male","Yes",50,"Yes","Entertainment",0,"Average",3,"Cat_6","C"
2467,"Male","Yes",73,"Yes","Artist",5,"High",3,"Cat_6","C"
2468,"Female","No",23,"No","Engineer",1,"Low",4,"Cat_6","B"
2469,"Male","No",30,"Yes","Entertainment",3,"Low",5,"Cat_3","D"
2470,"Female","No",21,"Yes","Healthcare",0,"Low",5,"Cat_2","D"
2471,"Male","No",18,"No","Healthcare",1,"Low",4,"Cat_6","D"
2472,"Male","Yes",46,"Yes","Artist",0,"Average",3,"Cat_6","B"
2473,"Male","No",32,"Yes","Entertainment",9,"Low",2,"Cat_6","D"
2474,"Female","No",36,"Yes","Healthcare",6,"Low",3,"Cat_2","D"
2475,"Male","Yes",37,"No","Doctor",9,"Low",2,"Cat_6","D"
2476,"Male","No",42,"Yes","Entertainment",1,"Low",1,"Cat_7","A"
2477,"Male","Yes",35,"Yes","Doctor",1,"Low",3,"Cat_4","D"
2478,"Female","Yes",42,"Yes","Healthcare",9,"Average",2,"Cat_6","D"
2479,"Female","No",33,"No","Homemaker",9,"Low",1,"Cat_6","D"
2480,"Female","Yes",59,"Yes","Artist",0,"Average",5,"Cat_6","C"
2481,"Male","Yes",70,"Yes","Artist",1,"Low",1,"Cat_6","B"
2482,"Male","Yes",53,"No","Entertainment",1,"Low",1,"Cat_6","A"
2483,"Female","Yes",80,"No","Lawyer",1,"High",2,"Cat_6","D"
2484,"Male","Yes",56,"No","Executive",3,"High",3,"Cat_6","B"
2485,"Male","Yes",39,"Yes","Artist",0,"Average",2,"Cat_2","C"
2486,"Female","Yes",73,"Yes","Artist",3,"Average",3,"Cat_3","C"
2487,"Female","Yes",58,"Yes","Artist",0,"Average",5,"Cat_6","C"
2488,"Female","No",30,"No","Homemaker",8,"Low",9,"Cat_4","A"
2489,"Female","No",23,"No","Healthcare",0,"Low",3,"Cat_6","D"
2490,"Male","Yes",59,"Yes","Artist",9,"Average",4,"Cat_6","C"
2491,"Female","Yes",56,"Yes","Doctor",0,"Low",2,"Cat_6","D"
2492,"Female","Yes",40,"Yes","Artist",8,"Low",1,"Cat_6","B"
2493,"Female","Yes",68,"Yes","Artist",1,"Low",2,"Cat_6","A"
2494,"Male","No",29,"Yes","Artist",1,"Low",6,"Cat_6","A"
2495,"Female","Yes",55,"Yes","Artist",1,"Average",3,"Cat_6","C"
2496,"Male","No",21,"No","Healthcare",1,"Low",4,"Cat_6","D"
2497,"Female","No",19,"No","Engineer",1,"Low",4,"Cat_6","D"
2498,"Female","Yes",41,"No","Healthcare",1,"Average",4,"Cat_6","D"
2499,"Male","No",41,"Yes","Artist",4,"Low",1,"Cat_3","A"
2500,"Male","No",33,"No","Doctor",1,"Low",2,"Cat_3","C"
2501,"Male","Yes",31,"No","Artist",3,"Average",2,"Cat_6","B"
2502,"Male","No",41,"Yes","Artist",6,"Low",1,"Cat_3","B"
2503,"Male","Yes",35,"Yes","Executive",0,"High",4,"Cat_6","A"
2504,"Male","Yes",41,"Yes","Entertainment",9,"Average",2,"Cat_6","B"
2505,"Male","Yes",81,"Yes","Lawyer",3,"High",2,"Cat_6","C"
2506,"Male","No",26,"No","Healthcare",0,"Low",3,"Cat_6","D"
2507,"Male","Yes",42,"No","Executive",3,"High",5,"Cat_6","B"
2508,"Female","Yes",53,"Yes","Artist",0,"Average",2,"Cat_6","C"
2509,"Female","Yes",33,"Yes","Entertainment",3,"Average",3,"Cat_4","D"
2510,"Male","Yes",39,"Yes","Artist",0,"Low",2,"Cat_6","C"
2511,"Male","Yes",83,"Yes","Executive",3,"High",2,"Cat_6","B"
2512,"Female","No",25,"No","Artist",6,"Low",3,"Cat_6","C"
2513,"Male","No",40,"Yes","Entertainment",0,"Low",2,"Cat_2","A"
2514,"Female","No",22,"No","Healthcare",0,"Low",4,"Cat_3","D"
2515,"Female","Yes",37,"Yes","Artist",1,"Average",2,"Cat_6","C"
2516,"Female","Yes",65,"Yes","Artist",0,"Low",2,"Cat_6","B"
2517,"Male","Yes",49,"Yes","Artist",0,"Average",2,"Cat_6","C"
2518,"Female","Yes",38,"Yes","Engineer",1,"Low",2,"Cat_6","C"
2519,"Female","Yes",65,"Yes","Artist",0,"Average",2,"Cat_6","C"
2520,"Male","Yes",52,"Yes","Entertainment",1,"Low",4,"Cat_2","C"
2521,"Male","Yes",73,"Yes","Lawyer",2,"Low",1,"Cat_6","D"
2522,"Female","No",48,"Yes","Engineer",1,"Low",1,"Cat_6","B"
2523,"Male","No",25,"Yes","Doctor",8,"Low",2,"Cat_6","D"
2524,"Male","No",31,"Yes","Healthcare",9,"Low",3,"Cat_7","D"
2525,"Male","No",25,"No","Entertainment",8,"Low",9,"Cat_6","C"
2526,"Male","No",21,"No","Doctor",0,"Low",3,"Cat_6","D"
2527,"Male","No",20,"No","Healthcare",0,"Low",4,"Cat_6","D"
2528,"Male","No",25,"No","Executive",0,"Low",3,"Cat_6","A"
2529,"Male","Yes",25,"Yes","Artist",8,"Low",2,"Cat_7","A"
2530,"Male","No",29,"No","Entertainment",1,"Low",3,"Cat_6","B"
2531,"Female","Yes",72,"No","Entertainment",7,"Average",3,"Cat_6","B"
2532,"Male","Yes",48,"Yes","Artist",0,"High",2,"Cat_6","B"
2533,"Male","No",28,"No","Doctor",1,"Low",5,"Cat_2","D"
2534,"Female","Yes",42,"Yes","Artist",3,"High",3,"Cat_2","C"
2535,"Female","Yes",32,"Yes","Artist",8,"Low",3,"Cat_6","A"
2536,"Male","Yes",49,"Yes","Artist",0,"Low",1,"Cat_6","B"
2537,"Female","Yes",55,"Yes","Artist",1,"Average",2,"Cat_6","C"
2538,"Female","Yes",40,"Yes","Artist",0,"Average",3,"Cat_6","A"
2539,"Female","No",37,"Yes","Doctor",0,"Low",3,"Cat_6","A"
2540,"Male","No",27,"No","Healthcare",3,"Low",4,"Cat_6","D"
2541,"Female","Yes",32,"Yes","Homemaker",4,"High",2,"Cat_3","B"
2542,"Male","Yes",36,"No","Executive",7,"High",4,"Cat_6","A"
2543,"Male","Yes",72,"No","Entertainment",0,"Average",3,"Cat_1","C"
2544,"Male","No",18,"No","Entertainment",1,"Low",4,"Cat_6","D"
2545,"Female","No",36,"Yes","Artist",1,"Low",1,"Cat_4","B"
2546,"Female","Yes",29,"No","Homemaker",3,"High",3,"Cat_3","A"
2547,"Female","Yes",88,"Yes","Lawyer",1,"High",2,"Cat_6","C"
2548,"Female","No",38,"Yes","Engineer",3,"Low",1,"Cat_6","D"
2549,"Male","Yes",87,"Yes","Lawyer",3,"Low",1,"Cat_6","B"
2550,"Male","Yes",51,"Yes","Artist",8,"Low",3,"Cat_2","A"
2551,"Male","Yes",51,"Yes","Entertainment",1,"Average",4,"Cat_6","B"
2552,"Male","No",31,"No","Artist",3,"Low",2,"Cat_6","A"
2553,"Female","Yes",47,"Yes","Artist",1,"Average",3,"Cat_6","C"
2554,"Female","Yes",70,"No","Artist",3,"High",2,"Cat_6","A"
2555,"Male","No",31,"No","Healthcare",3,"Low",4,"Cat_6","B"
2556,"Male","No",29,"Yes","Healthcare",0,"Low",6,"Cat_6","D"
2557,"Female","No",20,"No","Healthcare",0,"Low",3,"Cat_6","D"
2558,"Female","No",41,"Yes","Artist",1,"Low",3,"Cat_4","A"
2559,"Male","Yes",68,"No","Entertainment",4,"Average",2,"Cat_6","A"
2560,"Male","Yes",28,"Yes","Artist",3,"Low",2,"Cat_6","B"
